"Edad" "Peso" "Altura" "Sexo" "Hermanos" "Distancia" "NotaMediaGrado" "Probabilidad" "NotaProbabilidad" "NotaEsperadaIE" "SatisfaccionGrado" "TiempoMovil" "Instragram" "Tiktok" "Facebook" "BeReal" "X" "Bluesky" "Threads" "Otra" "Ninguna" "TiempoRedSocialFavorita" "FuturoLaboral" "InteresInferencia" "RedSocialFavorita"
"51" 20 68 180 "1 : Masculino" 1 2 NA 1 7 8 10 90 1 0 0 0 0 0 0 0 0 60 "2 : Universidad" "Moderado" "Instagram"
"52" 20 100 185 "1 : Masculino" 3 1 5.4 0 NA 7 4 120 0 0 0 0 0 0 0 1 0 100 "4 : Oposición" "Moderado" "Otra"
"53" 20 64 181 "1 : Masculino" 1 1 7 1 7 9 8 230 1 1 0 0 1 0 0 0 0 30 "1 : Empresa" "Mucho" "Instagram"
"54" 21 75 180 "1 : Masculino" 1 1 6 1 7 7 8 180 0 1 0 0 0 0 0 0 0 60 "1 : Empresa" "Moderado" "Tiktok"
"55" 20 67 178 "1 : Masculino" 1 35 NA 1 5 7 7 480 1 0 0 0 0 0 0 0 0 210 "1 : Empresa" "Moderado" "Instagram"
"56" 20 74 171 "1 : Masculino" 1 15 NA 1 6 7 8 300 0 1 0 0 0 0 0 0 0 90 "3 : Profesor (Instituto, primaria, etc.)" "Moderado" "Tiktok"
"57" 21 78 174 "1 : Masculino" 1 4 NA 1 NA 6 4 240 1 0 0 0 0 0 0 0 0 120 "1 : Empresa" "Mucho" "Instagram"
"58" 21 60 169 "2 : Femenino" 1 20 NA 1 5 NA 7 120 1 0 0 0 0 0 0 0 0 60 "1 : Empresa" "Moderado" "Instagram"
"59" 20 70 175 "1 : Masculino" 2 8 NA 1 1 6 5 270 1 0 0 0 0 0 0 0 0 120 "1 : Empresa" "Moderado" "Instagram"
"60" 20 67 1.82 "" 0 50 6.3 1 7 7 6 30 0 0 0 0 0 0 0 1 0 20 "3 : Profesor (Instituto, primaria, etc.)" "Moderado" "Otra"
"61" 25 80 177 "1 : Masculino" 2 3 6 1 7 7 7 90 0 1 0 0 0 0 0 0 0 60 "1 : Empresa" "Moderado" "Tiktok"
"62" 20 71 158 "2 : Femenino" 2 NA NA 1 NA NA 7 240 0 1 0 0 0 0 0 0 0 60 "4 : Oposición" "Mucho" "Tiktok"
